Average Speed-up: 98.96%
Average Speed-up Factor: 107.20x

Hydrograph H1: Ground Truth = 81.84s, AI Model = 0.66s, Speed-up = 99.19%, Speed-up Factor = 124.00x
Hydrograph H2: Ground Truth = 80.97s, AI Model = 0.63s, Speed-up = 99.22%, Speed-up Factor = 128.52x
Hydrograph H3: Ground Truth = 85.92s, AI Model = 0.85s, Speed-up = 99.01%, Speed-up Factor = 101.08x
Hydrograph H4: Ground Truth = 80.90s, AI Model = 0.84s, Speed-up = 98.96%, Speed-up Factor = 96.31x
Hydrograph H5: Ground Truth = 80.92s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.42x
Hydrograph H6: Ground Truth = 75.89s, AI Model = 0.84s, Speed-up = 98.89%, Speed-up Factor = 90.35x
Hydrograph H7: Ground Truth = 80.97s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.47x
Hydrograph H8: Ground Truth = 70.84s, AI Model = 0.63s, Speed-up = 99.11%, Speed-up Factor = 112.44x
Hydrograph H9: Ground Truth = 70.86s, AI Model = 0.85s, Speed-up = 98.80%, Speed-up Factor = 83.36x
Hydrograph H10: Ground Truth = 75.86s, AI Model = 0.65s, Speed-up = 99.14%, Speed-up Factor = 116.71x
Hydrograph H11: Ground Truth = 70.93s, AI Model = 1.06s, Speed-up = 98.51%, Speed-up Factor = 66.92x
Hydrograph H12: Ground Truth = 75.84s, AI Model = 0.95s, Speed-up = 98.75%, Speed-up Factor = 79.83x
Hydrograph H13: Ground Truth = 80.83s, AI Model = 1.04s, Speed-up = 98.71%, Speed-up Factor = 77.72x
Hydrograph H14: Ground Truth = 80.87s, AI Model = 1.74s, Speed-up = 97.85%, Speed-up Factor = 46.48x
Hydrograph H15: Ground Truth = 80.86s, AI Model = 1.06s, Speed-up = 98.69%, Speed-up Factor = 76.28x
Hydrograph H16: Ground Truth = 80.90s, AI Model = 1.04s, Speed-up = 98.71%, Speed-up Factor = 77.79x
Hydrograph H17: Ground Truth = 80.91s, AI Model = 1.29s, Speed-up = 98.41%, Speed-up Factor = 62.72x
Hydrograph H18: Ground Truth = 80.92s, AI Model = 0.97s, Speed-up = 98.80%, Speed-up Factor = 83.42x
Hydrograph H19: Ground Truth = 86.04s, AI Model = 1.31s, Speed-up = 98.48%, Speed-up Factor = 65.68x
Hydrograph H20: Ground Truth = 81.00s, AI Model = 0.84s, Speed-up = 98.96%, Speed-up Factor = 96.43x
Hydrograph H21: Ground Truth = 85.99s, AI Model = 0.85s, Speed-up = 99.01%, Speed-up Factor = 101.16x
Hydrograph H22: Ground Truth = 76.00s, AI Model = 0.97s, Speed-up = 98.72%, Speed-up Factor = 78.35x
Hydrograph H23: Ground Truth = 76.13s, AI Model = 0.85s, Speed-up = 98.88%, Speed-up Factor = 89.56x
Hydrograph H24: Ground Truth = 75.89s, AI Model = 1.48s, Speed-up = 98.05%, Speed-up Factor = 51.28x
Hydrograph H25: Ground Truth = 75.98s, AI Model = 1.07s, Speed-up = 98.59%, Speed-up Factor = 71.01x
Hydrograph H26: Ground Truth = 75.88s, AI Model = 1.30s, Speed-up = 98.29%, Speed-up Factor = 58.37x
Hydrograph H27: Ground Truth = 80.98s, AI Model = 0.84s, Speed-up = 98.96%, Speed-up Factor = 96.40x
Hydrograph H28: Ground Truth = 85.98s, AI Model = 0.83s, Speed-up = 99.03%, Speed-up Factor = 103.59x
Hydrograph H29: Ground Truth = 86.27s, AI Model = 0.95s, Speed-up = 98.90%, Speed-up Factor = 90.81x
Hydrograph H30: Ground Truth = 81.12s, AI Model = 1.48s, Speed-up = 98.18%, Speed-up Factor = 54.81x
Hydrograph H31: Ground Truth = 80.96s, AI Model = 1.28s, Speed-up = 98.42%, Speed-up Factor = 63.25x
Hydrograph H32: Ground Truth = 80.97s, AI Model = 1.06s, Speed-up = 98.69%, Speed-up Factor = 76.39x
Hydrograph H33: Ground Truth = 81.03s, AI Model = 1.06s, Speed-up = 98.69%, Speed-up Factor = 76.44x
Hydrograph H34: Ground Truth = 85.98s, AI Model = 1.30s, Speed-up = 98.49%, Speed-up Factor = 66.14x
Hydrograph H35: Ground Truth = 80.87s, AI Model = 1.40s, Speed-up = 98.27%, Speed-up Factor = 57.76x
Hydrograph H36: Ground Truth = 75.88s, AI Model = 1.29s, Speed-up = 98.30%, Speed-up Factor = 58.82x
Hydrograph H37: Ground Truth = 75.89s, AI Model = 1.06s, Speed-up = 98.60%, Speed-up Factor = 71.59x
Hydrograph H38: Ground Truth = 75.95s, AI Model = 1.29s, Speed-up = 98.30%, Speed-up Factor = 58.88x
Hydrograph H39: Ground Truth = 75.94s, AI Model = 0.63s, Speed-up = 99.17%, Speed-up Factor = 120.54x
Hydrograph H40: Ground Truth = 80.96s, AI Model = 0.85s, Speed-up = 98.95%, Speed-up Factor = 95.25x
Hydrograph H41: Ground Truth = 81.12s, AI Model = 1.28s, Speed-up = 98.42%, Speed-up Factor = 63.38x
Hydrograph H42: Ground Truth = 85.95s, AI Model = 1.05s, Speed-up = 98.78%, Speed-up Factor = 81.86x
Hydrograph H43: Ground Truth = 81.01s, AI Model = 0.84s, Speed-up = 98.96%, Speed-up Factor = 96.44x
Hydrograph H44: Ground Truth = 80.99s, AI Model = 1.27s, Speed-up = 98.43%, Speed-up Factor = 63.77x
Hydrograph H45: Ground Truth = 85.93s, AI Model = 0.86s, Speed-up = 99.00%, Speed-up Factor = 99.92x
Hydrograph H46: Ground Truth = 80.98s, AI Model = 1.30s, Speed-up = 98.39%, Speed-up Factor = 62.29x
Hydrograph H47: Ground Truth = 80.95s, AI Model = 1.05s, Speed-up = 98.70%, Speed-up Factor = 77.10x
Hydrograph H48: Ground Truth = 75.96s, AI Model = 0.65s, Speed-up = 99.14%, Speed-up Factor = 116.86x
Hydrograph H49: Ground Truth = 75.97s, AI Model = 1.31s, Speed-up = 98.28%, Speed-up Factor = 57.99x
Hydrograph H50: Ground Truth = 75.87s, AI Model = 1.18s, Speed-up = 98.44%, Speed-up Factor = 64.30x
Hydrograph H51: Ground Truth = 75.85s, AI Model = 1.29s, Speed-up = 98.30%, Speed-up Factor = 58.80x
Hydrograph H52: Ground Truth = 70.96s, AI Model = 1.30s, Speed-up = 98.17%, Speed-up Factor = 54.58x
